latitude,longitude,dataset_type,gcc_objectid,gcc_zone,gcc_ward,gcc_location,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,drain_size_raw,drain_width_raw,drain_depth_raw,drain_length_raw_m,drain_width_source,drain_depth_source,drain_length_source,geometry_length_m,distance_to_drain_m
12.97331664,80.21969497,FLOOD,5828,N13,176,"Velachery AGS Colony, Chennai",0.010901,0.6,1.8,0.19852,SWD,YES,GOOD,0.6 x 1.8,0.6,1.8,198.52029646,drain_size,drain_size,drain_len,198.52,10.901
12.97614633,80.2198958,FLOOD,5924,N13,177,"Velachery, Chennai",0.036731,0.6,1.8,1.431518,SWD,YES,GOOD,0.6 x 1.8,0.8,0.8,1431.51809748,drain_size,drain_size,drain_len,1431.518,36.731
12.97631197,80.21930739,FLOOD,6036,N13,177,"Velachery, Chennai",0.000325,1.28,1.28,0.094681,SWD,YES,GOOD,1.28 x 1.28,1.28,1.28,94.6813040543,drain_size,drain_size,drain_len,94.681,0.325
12.97799422,80.21909986,FLOOD,5924,N13,177,"Velachery, Chennai",0.042164,0.6,1.8,1.431518,SWD,YES,GOOD,0.6 x 1.8,0.8,0.8,1431.51809748,drain_size,drain_size,drain_len,1431.518,42.164
12.99742628,80.21617256,FLOOD,5476,N13,172,"Guindy, Chennai",0.005541,1.73,1.73,0.032734,SWD,YES,GOOD,1.73 x 1.73,1.73,1.73,32.7338787906,drain_size,drain_size,drain_len,32.734,5.541
13.00670237,80.21266423,FLOOD,5463,N13,172,"Guindy, Chennai",0.051398,0.99,0.99,0.857239,SWD,YES,GOOD,0.99 x 0.99,0.99,0.99,857.239417577,drain_size,drain_size,drain_len,857.24,51.398
13.0098038,80.21502256,FLOOD,5463,N13,172,"Guindy, Chennai",0.018278,0.99,0.99,0.857239,SWD,YES,GOOD,0.99 x 0.99,0.99,0.99,857.239417577,drain_size,drain_size,drain_len,857.24,18.278
12.99558246,80.20116225,FLOOD,4457,N12,161,"Alandur, Chennai",0.06632,0.75,0.75,0.155439,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,155.439370196,drain_size,drain_size,drain_len,155.439,66.32
12.99718258,80.2070906,FLOOD,5475,N13,172,"Guindy, Chennai",0.002433,1.61,1.61,0.655931,SWD,YES,GOOD,1.61 x 1.61,1.61,1.61,655.930972645,drain_size,drain_size,drain_len,655.931,2.433
12.99740962,80.20712782,FLOOD,5475,N13,172,"Guindy, Chennai",0.001606,1.61,1.61,0.655931,SWD,YES,GOOD,1.61 x 1.61,1.61,1.61,655.930972645,drain_size,drain_size,drain_len,655.931,1.606
12.94871485,80.20184319,FLOOD,7216,N14,188,"Madipakkam, Chennai",0.170794,4.18,1.5,0.366294,SWD,YES,GOOD,4.18 x 1.50,4.18,4.18,366.293690187,drain_size,drain_size,drain_len,366.294,170.794
12.94871649,80.20291675,FLOOD,7216,N14,188,"Madipakkam, Chennai",0.107541,4.18,1.5,0.366294,SWD,YES,GOOD,4.18 x 1.50,4.18,4.18,366.293690187,drain_size,drain_size,drain_len,366.294,107.541
12.94876125,80.20352729,FLOOD,7216,N14,188,"Madipakkam, Chennai",0.097248,4.18,1.5,0.366294,SWD,YES,GOOD,4.18 x 1.50,4.18,4.18,366.293690187,drain_size,drain_size,drain_len,366.294,97.248
