latitude,longitude,dataset_type,gcc_objectid,gcc_zone,gcc_ward,gcc_location,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,drain_size_raw,drain_width_raw,drain_depth_raw,drain_length_raw_m,drain_width_source,drain_depth_source,drain_length_source,geometry_length_m,distance_to_drain_m
12.985,80.315,BACKGROUND,6106,N13,179,"Adayar, Chennai",4.958523,1.3,1.3,0.978216,SWD,YES,GOOD,1.3 x 1.3,1.3,1.3,978.215628295,drain_size,drain_size,drain_len,978.216,4958.523
12.99,80.125,BACKGROUND,3852,N12,156,"Ramapuram, Chennai",3.880731,1.05,1.05,0.285659,SWD,YES,GOOD,1.05 x 1.05,1.05,1.05,285.65859935,drain_size,drain_size,drain_len,285.659,3880.731
12.99,80.215,BACKGROUND,5767,N13,175,"Puzhuthivakkam, Chennai",0.028091,3.2,3.2,0.685692,SIDE_DRAIN,YES,GOOD,3.2 x 3.2,3.2,3.2,685.692063177,drain_size,drain_size,drain_len,685.692,28.091
12.99,80.275,BACKGROUND,6110,N13,179,"Adayar, Chennai",0.648141,0.76,0.76,0.451446,SWD,YES,GOOD,0.76 x 0.76,0.76,0.76,451.446268571,drain_size,drain_size,drain_len,451.446,648.141
12.99,80.335,BACKGROUND,6106,N13,179,"Adayar, Chennai",7.019476,1.3,1.3,0.978216,SWD,YES,GOOD,1.3 x 1.3,1.3,1.3,978.215628295,drain_size,drain_size,drain_len,978.216,7019.476
12.995,80.145,BACKGROUND,3867,N12,156,"Ramapuram, Chennai",2.334954,1.5,1.5,0.138984,SWD,YES,GOOD,1.5 x 1.5,1.5,1.5,138.983666916,drain_size,drain_size,drain_len,138.984,2334.954
12.995,80.24,BACKGROUND,6086,N13,178,"Thiruvanmiyur, Chennai",0.480845,0.9,0.9,0.618178,SWD,YES,GOOD,0.9 x 0.9,0.9,0.9,618.17844925,drain_size,drain_size,drain_len,618.178,480.845
12.995,80.315,BACKGROUND,6106,N13,179,"Adayar, Chennai",4.826027,1.3,1.3,0.978216,SWD,YES,GOOD,1.3 x 1.3,1.3,1.3,978.215628295,drain_size,drain_size,drain_len,978.216,4826.027
13.0,80.125,BACKGROUND,3852,N12,156,"Ramapuram, Chennai",3.110422,1.05,1.05,0.285659,SWD,YES,GOOD,1.05 x 1.05,1.05,1.05,285.65859935,drain_size,drain_size,drain_len,285.659,3110.422
13.0,80.185,BACKGROUND,4550,N12,162,"Adambakkam, Chennai",0.684273,0.61,0.61,0.381553,SWD,YES,GOOD,0.61 x 0.61,0.61,0.61,381.552733942,drain_size,drain_size,drain_len,381.553,684.273
13.0,80.285,BACKGROUND,6106,N13,179,"Adayar, Chennai",1.656197,1.3,1.3,0.978216,SWD,YES,GOOD,1.3 x 1.3,1.3,1.3,978.215628295,drain_size,drain_size,drain_len,978.216,1656.197
13.0,80.345,BACKGROUND,5450,N13,171,"Mandaveli, Chennai",7.894849,0.9,0.9,0.366818,SWD,YES,GOOD,0.9 x 0.9,0.91,0.91,366.81836991,drain_size,drain_size,drain_len,366.818,7894.849
13.005,80.155,BACKGROUND,3867,N12,156,"Ramapuram, Chennai",0.913038,1.5,1.5,0.138984,SWD,YES,GOOD,1.5 x 1.5,1.5,1.5,138.983666916,drain_size,drain_size,drain_len,138.984,913.038
13.005,80.23,BACKGROUND,5317,N13,169,"Saidapet, Chennai",0.410068,2.8,2.8,0.092966,SWD,YES,GOOD,2.80 x 2.80,2.8,2.8,92.9659302522,drain_size,drain_size,drain_len,92.966,410.068
13.005,80.305,BACKGROUND,5450,N13,171,"Mandaveli, Chennai",3.655767,0.9,0.9,0.366818,SWD,YES,GOOD,0.9 x 0.9,0.91,0.91,366.81836991,drain_size,drain_size,drain_len,366.818,3655.767
13.01,80.115,BACKGROUND,3837,N12,156,"Ramapuram, Chennai",3.489361,0.85,0.85,0.392999,SWD,YES,GOOD,0.85 x 0.85,0.85,0.85,392.999361458,drain_size,drain_size,drain_len,392.999,3489.361
13.01,80.175,BACKGROUND,4108,N12,157,"Manapakkam, Chennai",0.365257,0.89,0.89,0.087785,SWD,YES,GOOD,0.89X0.89,0.89,0.89,87.784763643,drain_size,drain_size,drain_len,87.785,365.257
13.01,80.28,BACKGROUND,5406,N13,171,"Mandaveli, Chennai",1.188022,1.13,1.13,0.132752,SWD,YES,GOOD,1.13 x 1.13,1.13,1.13,132.751924242,drain_size,drain_size,drain_len,132.752,1188.022
13.01,80.34,BACKGROUND,5450,N13,171,"Mandaveli, Chennai",7.112836,0.9,0.9,0.366818,SWD,YES,GOOD,0.9 x 0.9,0.91,0.91,366.81836991,drain_size,drain_size,drain_len,366.818,7112.836
13.015,80.15,BACKGROUND,3854,N12,156,"Ramapuram, Chennai",0.241538,0.95,0.95,0.174522,SWD,YES,GOOD,0.95 x 0.95,0.95,0.95,174.522345898,drain_size,drain_size,drain_len,174.522,241.538
13.015,80.24,BACKGROUND,5334,N13,169,"Saidapet, Chennai",0.044691,1.2,1.2,1.150055,SWD,YES,BAD,1.2 x 1.2,1.2,1.2,1150.05486897,drain_size,drain_size,drain_len,1150.055,44.691
